ID,Módulo,Nombre Caso de prueba,Objetivo,Precondiciones,Tipo de prueba,Prioridad,#Paso,Descripción del paso,Resultado esperado,Resultado actual,Estatus,Severidad,Comentarios,,,,,,
TC-001,Usuarios,GET listar usuarios página 1,Validar que la API retorne la lista de usuarios página 1,"1.Contar con Postman v10.18.12 
2.Contar con internet estable 
3.Contar con API Key válida 
4.Contar con variables de entorno configuradas 
5.Contar con colección creada 
6.Contar con sesión iniciada 
7.Contar con entorno reqres.in-QA seleccionado 
8.Ubicarse en Escenarios Positivos",Positivo,Alta,1,Seleccionar el request GET - Listar usuarios página 1,El request se abre en el panel principal,200 OK,Passed,-,-,,,,,,
,Usuarios,GET listar usuarios pÃ¡gina 1,Validar que la API retorne la lista de usuarios pÃ¡gina 1,,Positivo,Alta,2,Verificar que el método HTTP sea GET,El sistema muestra el método GET seleccionado correctamente,200 OK,Pass,-,-,,,,,,
,Usuarios,GET listar usuarios pÃ¡gina 1,Validar que la API retorne la lista de usuarios pÃ¡gina 1,,Positivo,Alta,3,Verificar que la URL sea base_url/api/users y page=1,URL y parámetro correctamente configurados,200 OK,Pass,-,-,,,,,,
,Usuarios,GET listar usuarios pÃ¡gina 1,Validar que la API retorne la lista de usuarios pÃ¡gina 1,,Positivo,Alta,4,Click en el botón Send,La petición se envía al servidor,200 OK,Pass,-,-,,,,,,
,Usuarios,GET listar usuarios pÃ¡gina 1,Validar que la API retorne la lista de usuarios pÃ¡gina 1,,Positivo,Alta,5,Verificar el Status Code,200 OK,200 OK,Pass,-,-,,,,,,
,Usuarios,GET listar usuarios pÃ¡gina 1,Validar que la API retorne la lista de usuarios pÃ¡gina 1,,Positivo,Alta,6,Verificar campo page en el Body,El valor es 1,200 OK,Pass,-,-,,,,,,
,Usuarios,GET listar usuarios pÃ¡gina 1,Validar que la API retorne la lista de usuarios pÃ¡gina 1,,Positivo,Alta,7,Verificar campo per_page en el Body,El valor es 6,200 OK,Pass,-,-,,,,,,Positivo
,Usuarios,GET listar usuarios pÃ¡gina 1,Validar que la API retorne la lista de usuarios pÃ¡gina 1,,Positivo,Alta,8,Verificar campo total en el Body,El valor es 12,200 OK,Pass,-,-,,,,,,Negativo
,Usuarios,GET listar usuarios pÃ¡gina 1,Validar que la API retorne la lista de usuarios pÃ¡gina 1,,Positivo,Alta,9,Verificar campo total_pages en el Body,El valor es 2,200 OK,Pass,-,-,,,,,,
,Usuarios,GET listar usuarios pÃ¡gina 1,Validar que la API retorne la lista de usuarios pÃ¡gina 1,,Positivo,Alta,10,Verificar array data en el Body,Contiene 6 usuarios con id email first_name last_name avatar,200 OK,Pass,-,-,,,,,,
,Usuarios,GET listar usuarios pÃ¡gina 1,Validar que la API retorne la lista de usuarios pÃ¡gina 1,,Positivo,Alta,11,Verificar pestaÃ±a Test Results,Los 4 tests aparecen en verde con estatus Pass,200 OK,Pass,-,-,,,,,,
TC-002,Usuarios,GET listar usuarios página 2,Validar que la API retorne la lista de usuarios página 2,"1.Contar con Postman v10.18.12 
2.Contar con internet estable 
3.Contar con API Key válida 
4.Contar con variables de entorno configuradas 
5.Contar con colección creada 
6.Contar con sesión iniciada 
7.Contar con entorno reqres.in-QA seleccionado 
8.Ubicarse en Escenarios Positivos",Positivo,Alta,1,Seleccionar el request GET - Listar usuarios página 2,El request se abre en el panel principal,200 OK,Passed,-,-,,,,,,
,Usuarios,GET listar usuarios pÃ¡gina 2,Validar que la API retorne la lista de usuarios pÃ¡gina 2,,Positivo,Alta,2,Verificar que el método HTTP sea GET,método GET seleccionado correctamente,200 OK,Pass,-,-,,,,,,
,Usuarios,GET listar usuarios pÃ¡gina 2,Validar que la API retorne la lista de usuarios pÃ¡gina 2,,Positivo,Alta,3,Verificar que la URL sea base_url/api/users y page=2,URL y parámetro correctamente configurados,200 OK,Pass,-,-,,,,,,
,Usuarios,GET listar usuarios pÃ¡gina 2,Validar que la API retorne la lista de usuarios pÃ¡gina 2,,Positivo,Alta,4,Click en el botón Send,La petición se envía al servidor,200 OK,Pass,-,-,,,,,,
,Usuarios,GET listar usuarios pÃ¡gina 2,Validar que la API retorne la lista de usuarios pÃ¡gina 2,,Positivo,Alta,5,Verificar el Status Code,200 OK,200 OK,Pass,-,-,,,,,,
,Usuarios,GET listar usuarios pÃ¡gina 2,Validar que la API retorne la lista de usuarios pÃ¡gina 2,,Positivo,Alta,6,Verificar campo page en el Body,El valor es 2,200 OK,Pass,-,-,,,,,,
,Usuarios,GET listar usuarios pÃ¡gina 2,Validar que la API retorne la lista de usuarios pÃ¡gina 2,,Positivo,Alta,7,Verificar campo per_page en el Body,El valor es 6,200 OK,Pass,-,-,,,,,,
,Usuarios,GET listar usuarios pÃ¡gina 2,Validar que la API retorne la lista de usuarios pÃ¡gina 2,,Positivo,Alta,8,Verificar campo total en el Body,El valor es 12,200 OK,Pass,-,-,,,,,,
,Usuarios,GET listar usuarios pÃ¡gina 2,Validar que la API retorne la lista de usuarios pÃ¡gina 2,,Positivo,Alta,9,Verificar campo total_pages en el Body,El valor es 2,200 OK,Pass,-,-,,,,,,
,Usuarios,GET listar usuarios pÃ¡gina 2,Validar que la API retorne la lista de usuarios pÃ¡gina 2,,Positivo,Alta,10,Verificar array data en el Body,Contiene 6 usuarios con IDs del 7 al 12 con campos id email first_name last_name avatar,200 OK,Pass,-,-,,,,,,
,Usuarios,GET listar usuarios pÃ¡gina 2,Validar que la API retorne la lista de usuarios pÃ¡gina 2,,Positivo,Alta,11,Verificar pestaÃ±a Test Results,Los tests automÃ¡ticos aparecen en verde con estatus Pass,200 OK,Pass,-,-,,,,,,
